azon;cím;rendezo;hozzaadas_datum;ertekeles;nyelv
54517;Jungle Child;Roland Suso Richter;2011.02.16;7;de
134147;Edge of the Garden;Michael M. Scott;2011.05.15;6,152;en
48620;The Mighty Macs;Tim Chambers;2011.10.21;5,268;en
54662;The Future;Miranda July;2011.07.29;6,009;en
137217;Donovan's Echo;Jim Cliffe;2011.09.17;6;en
80709;The Borrowers;Tom Harper;2011.12.25;5,767;en
77261;Five;Patty Jenkins, Jennifer Aniston, Penelope Spheeris, Alicia Keys, Demi Moore;2011.10.10;7,063;en
117098;Cloudburst;Thom Fitzgerald;2011.09.23;6,441;en
77716;The Cup;Simon Wincer;2011.11.13;5,618;en
154082;The Zone;Joe Swanberg;2011.03.16;5,158;en
89326;96 Minutes;Aimee Lagos;2011.10.14;5,675;en
79123;Little Murder;Predrag Antonijević;2011.01.08;5;en
66896;Werner - Eiskalt!;Gernot Roll;2011.06.23;5,656;de
50081;Born to Be Wild;David Lickley;2011.04.08;7;en
67619;Revenge of the Electric Car;Chris Paine;2011.10.21;7;en
136972;Biohazard: Patient Zero;Brian T. Jaynes;2011.10.31;5;en
24428;The Avengers;Joss Whedon;2012.04.25;7,73;en
50620;The Twilight Saga: Breaking Dawn - Part 2;Bill Condon;2012.11.13;6,461;en
49051;The Hobbit: An Unexpected Journey;Peter Jackson;2012.12.12;7,357;en
57800;Ice Age: Continental Drift;Steve Martino, Mike Thurmeier;2012.06.27;6,38;en
75780;Jack Reacher;Christopher McQuarrie;2012.12.20;6,64;en
70160;The Hunger Games;Gary Ross;2012.03.12;7,214;en
68718;Django Unchained;Quentin Tarantino;2012.12.25;8,183;en
82690;Wreck-It Ralph;Rich Moore;2012.11.01;7,342;en
76492;Hotel Transylvania;Genndy Tartakovsky;2012.09.20;7;en
57214;Project X;Nima Nourizadeh;2012.03.01;6,881;en
44833;Battleship;Peter Berg;2012.04.11;5,861;en
107257;A Perfect Ending;Nicole Conn;2012.06.01;6,153;en
71552;American Reunion;Jon Hurwitz, Hayden Schlossberg;2012.04.04;6,297;en
87428;That's My Boy;Sean Anders;2012.06.14;5,821;en
72545;Journey 2: The Mysterious Island;Brad Peyton;2012.01.19;6,152;en
49529;John Carter;Andrew Stanton;2012.03.07;6,327;en
37724;Skyfall;Sam Mendes;2012.10.24;7,247;en
76163;The Expendables 2;Simon West;2012.08.08;6,347;en
83201;Puss in Boots: The Three Diablos;Raman Hui;2012.02.07;6,522;en
58595;Snow White and the Huntsman;Rupert Sanders;2012.05.30;6;en
52520;Underworld: Awakening;Måns Mårlind, Björn Stein;2012.01.19;6,322;en
87502;Flight;Robert Zemeckis;2012.11.02;6,842;en
59967;Looper;Rian Johnson;2012.09.26;6,889;en
49040;The Bourne Legacy;Tony Gilroy;2012.08.08;6,228;en
82881;Tangled Ever After;Nathan Greno, Byron Howard;2012.01.13;7,143;en
97630;Zero Dark Thirty;Kathryn Bigelow;2012.12.19;7;en
123025;Batman: The Dark Knight Returns, Part 1;Jay Oliva;2012.08.21;7,735;en
80278;The Impossible;J.A. Bayona;2012.09.09;7,362;en
114478;Starship Troopers: Invasion;Shinji Aramaki;2012.08.28;5,856;en
62214;Frankenweenie;Tim Burton;2012.10.04;6,992;en
68734;Argo;Ben Affleck;2012.10.11;7,278;en
83542;Cloud Atlas;Lilly Wachowski, Lana Wachowski, Tom Tykwer;2012.10.26;6,886;en
167313;Monster High: Why Do Ghouls Fall in Love?;Steve Sacks, Dustin McKenzie;2012.02.12;8;en
60747;Red Dawn;Dan Bradley;2012.03.15;5,706;en
151870;Minecraft: The Story of Mojang;Paul Owens;2012.12.23;7;en
77174;ParaNorman;Sam Fell, Chris Butler;2012.08.03;6,989;en
49049;Dredd;Pete Travis;2012.09.07;6,84;en
72387;Safe;Boaz Yakin;2012.04.16;6,485;en
87825;Trouble with the Curve;Robert Lorenz;2012.09.21;6,993;en
113947;The Sessions;Ben Lewin;2012.05.02;6,902;en
127493;Stolen;Simon West;2012.09.06;5,465;en
76494;What to Expect When You're Expecting;Kirk Jones;2012.05.17;5,997;en
77883;The Possession;Ole Bornedal;2012.08.30;6,037;en
114606;Cockneys vs Zombies;Matthias Hoene;2012.08.31;5,685;en
83666;Moonrise Kingdom;Wes Anderson;2012.05.16;7,685;en
77866;Contraband;Baltasar Kormákur;2012.01.12;6,331;en
87826;Here Comes the Boom;Frank Coraci;2012.10.10;6,188;en
134366;Grave Encounters 2;John Poliquin;2012.10.12;5,536;en
84188;Compliance;Craig Zobel;2012.08.23;6,367;en
64689;Killing Them Softly;Andrew Dominik;2012.07.30;6,024;en
80389;Get the Gringo;Adrian Grünberg;2012.03.15;6,581;en
80035;The Watch;Akiva Schaffer;2012.07.26;5,584;en
105965;Beverly Hills Chihuahua 3;Lev L. Spiro;2012.09.03;6,295;en
103620;Maniac;Franck Khalfoun;2012.12.26;6;en
119321;Big Top Scooby-Doo!;Heather A. Maxwell;2012.10.09;7,71;en
68722;The Master;Paul Thomas Anderson;2012.09.14;7,117;en
38541;The Divide;Xavier Gens;2012.01.13;5,927;en
71864;The Odd Life of Timothy Green;Peter Hedges;2012.08.15;7;en
83686;The Words;Brian Klugman, Lee Sternthal;2012.09.07;6,644;en
